Player,Country,Pos,Birthday,Age,Caps,Club,Club Country,year
Richard Kingson,ghana,GK,1978-06-13,31,58,Wigan Athletic,england,2010
Kevin-Prince Boateng,ghana,MF,1987-03-06,23,0,Portsmouth,england,2010
Vladimir Stojković,serbia,GK,1983-07-29,26,33,Wigan Athletic,england,2010
Antonio Rukavina,serbia,DF,1984-01-26,26,20,1860 Munich,germany,2010
Aleksandar Kolarov,serbia,DF,1985-11-10,24,13,Lazio,italy,2010
Gojko Kačar,serbia,MF,1987-01-26,23,17,Hertha BSC,germany,2010
Nemanja Vidić,serbia,DF,1981-10-21,28,45,Manchester United,england,2010
Branislav Ivanović,serbia,DF,1984-02-22,26,31,Chelsea,england,2010
Zoran Tošić,serbia,MF,1987-04-28,23,21,1. FC Köln,germany,2010
Danko Lazović,serbia,FW,1983-05-17,27,37,Zenit Saint Petersburg,russia,2010
Marko Pantelić,serbia,FW,1978-09-15,31,32,Ajax,netherlands,2010
Dejan Stanković,serbia,MF,1978-09-11,31,88,Internazionale,italy,2010
Nenad Milijaš,serbia,MF,1983-04-30,27,17,Wolverhampton Wanderers,england,2010
Bojan Isailović,serbia,GK,1980-03-25,30,4,Zagłębie Lubin,poland,2010
Aleksandar Luković,serbia,DF,1982-10-23,27,21,Udinese,italy,2010
Milan Jovanović,serbia,MF,1981-04-18,29,26,Standard Liège,belgium,2010
Nikola Žigić,serbia,FW,1980-09-25,29,45,Valencia,spain,2010
Ivan Obradović,serbia,DF,1988-07-25,21,12,Real Zaragoza,spain,2010
Miloš Krasić,serbia,MF,1984-11-01,25,31,CSKA Moscow,russia,2010
Miloš Ninković,serbia,MF,1984-12-25,25,9,Dynamo Kyiv,ukraine,2010
Radosav Petrović,serbia,MF,1989-03-08,21,9,Partizan,serbia,2010
Neven Subotić,serbia,DF,1988-12-10,21,13,Borussia Dortmund,germany,2010
Dragan Mrđa,serbia,FW,1984-01-23,26,6,Vojvodina,serbia,2010
Zdravko Kuzmanović,serbia,MF,1987-09-22,22,27,VfB Stuttgart,germany,2010
Anđelko Đuričić,serbia,GK,1980-11-21,29,1,União de Leiria,portugal,2010
Carlos Kameni,cameroon,GK,1984-02-18,26,58,Espanyol,spain,2010
Benoît Assou-Ekotto,cameroon,DF,1984-03-24,26,4,Tottenham Hotspur,england,2010
Nicolas N'Koulou,cameroon,DF,1990-03-27,20,6,Monaco,france,2010
Rigobert Song,cameroon,DF,1976-07-01,33,133,Trabzonspor,turkey,2010
Sébastien Bassong,cameroon,DF,1986-07-09,23,3,Tottenham Hotspur,england,2010
Alex Song,cameroon,MF,1987-09-09,22,20,Arsenal,england,2010
Landry N'Guémo,cameroon,MF,1985-11-28,24,17,Celtic,scotland,2010
Geremi,cameroon,DF,1978-12-20,31,109,Ankaragücü,turkey,2010
Samuel Eto'o,cameroon,FW,1981-03-10,29,92,Internazionale,italy,2010
Achille Emana,cameroon,MF,1982-06-05,28,32,Real Betis,spain,2010
Jean Makoun,cameroon,MF,1983-05-29,27,46,Lyon,france,2010
Gaëtan Bong,cameroon,DF,1988-04-25,22,0,Valenciennes,france,2010
Eric Maxim Choupo-Moting,cameroon,FW,1989-03-23,21,0,1. FC Nürnberg,germany,2010
Aurélien Chedjou,cameroon,DF,1985-06-20,24,8,Lille,france,2010
Pierre Webó,cameroon,FW,1982-01-20,28,39,Mallorca,spain,2010
Souleymanou Hamidou,cameroon,GK,1973-11-22,36,40,Kayserispor,turkey,2010
Mohammadou Idrissou,cameroon,FW,1980-03-08,30,28,SC Freiburg,germany,2010
Eyong Enoh,cameroon,MF,1986-03-23,24,12,Ajax,netherlands,2010
Stéphane Mbia,cameroon,DF,1986-05-20,24,29,Marseille,france,2010
Georges Mandjeck,cameroon,MF,1988-12-09,21,4,1. FC Kaiserslautern,germany,2010
Joël Matip,cameroon,MF,1991-08-08,18,1,Schalke 04,germany,2010
Guy N'dy Assembé,cameroon,GK,1986-02-28,24,0,Valenciennes,france,2010
Vincent Aboubakar,cameroon,FW,1992-01-22,18,0,Cotonsport Garoua,cameroon,2010
Thomas Sørensen,denmark,GK,1976-06-12,33,86,Stoke City,england,2010
Christian Poulsen,denmark,MF,1980-02-28,30,74,Juventus,italy,2010
Simon Kjær,denmark,DF,1989-03-26,21,9,Palermo,italy,2010
Daniel Agger,denmark,DF,1984-12-12,25,32,Liverpool,england,2010
William Kvist,denmark,DF,1985-02-24,25,14,Copenhagen,denmark,2010
Lars Jacobsen,denmark,DF,1979-09-20,30,31,Blackburn Rovers,england,2010
Daniel Jensen,denmark,MF,1979-06-25,30,49,Werder Bremen,germany,2010
Jesper Grønkjær,denmark,MF,1977-08-12,32,78,Copenhagen,denmark,2010
Jon Dahl Tomasson,denmark,FW,1976-08-29,33,110,Feyenoord,netherlands,2010
Martin Jørgensen,denmark,MF,1975-10-06,34,96,AGF,denmark,2010
Nicklas Bendtner,denmark,FW,1988-01-16,22,32,Arsenal,england,2010
Thomas Kahlenberg,denmark,MF,1983-03-20,27,31,VfL Wolfsburg,germany,2010
Per Krøldrup,denmark,DF,1979-07-31,30,30,Fiorentina,italy,2010
Jakob Poulsen,denmark,MF,1983-07-07,26,13,AGF,denmark,2010
Simon Poulsen,denmark,DF,1984-10-07,25,5,AZ,netherlands,2010
Stephan Andersen,denmark,GK,1981-11-26,28,7,Brøndby,denmark,2010
Mikkel Beckmann,denmark,MF,1983-10-24,26,5,Randers,denmark,2010
Søren Larsen,denmark,FW,1981-09-06,28,19,MSV Duisburg,germany,2010
Dennis Rommedahl,denmark,MF,1978-07-22,31,96,Ajax,netherlands,2010
Thomas Enevoldsen,denmark,MF,1987-07-27,22,6,Groningen,netherlands,2010
Christian Eriksen,denmark,MF,1992-02-14,18,3,Ajax,netherlands,2010
Jesper Christiansen,denmark,GK,1978-04-24,32,11,Copenhagen,denmark,2010
Patrick Mtiliga,denmark,DF,1981-01-28,29,4,Málaga,spain,2010
Seigo Narazaki,japan,GK,1976-04-15,34,76,Nagoya Grampus,japan,2010
Yuki Abe,japan,MF,1981-09-06,28,45,Urawa Red Diamonds,japan,2010
Yūichi Komano,japan,DF,1981-07-25,28,53,Júbilo Iwata,japan,2010
Marcus Tulio Tanaka,japan,DF,1981-04-24,29,39,Nagoya Grampus,japan,2010
Yuto Nagatomo,japan,DF,1986-09-12,23,26,FC Tokyo,japan,2010
Atsuto Uchida,japan,DF,1988-03-27,22,31,Kashima Antlers,japan,2010
Yasuhito Endō,japan,MF,1980-01-28,30,94,Gamba Osaka,japan,2010
Daisuke Matsui,japan,FW,1981-05-11,29,23,Grenoble,france,2010
Shinji Okazaki,japan,FW,1986-04-16,24,28,Shimizu S-Pulse,japan,2010
Shunsuke Nakamura,japan,MF,1978-06-24,31,97,Yokohama F. Marinos,japan,2010
Keiji Tamada,japan,FW,1980-04-11,30,70,Nagoya Grampus,japan,2010
Kisho Yano,japan,FW,1984-04-05,26,18,Albirex Niigata,japan,2010
Daiki Iwamasa,japan,DF,1982-01-30,28,2,Kashima Antlers,japan,2010
Kengo Nakamura,japan,MF,1980-10-31,29,47,Kawasaki Frontale,japan,2010
Yasuyuki Konno,japan,DF,1983-01-25,27,37,FC Tokyo,japan,2010
Yoshito Ōkubo,japan,FW,1982-06-09,28,49,Vissel Kobe,japan,2010
Makoto Hasebe,japan,MF,1984-01-18,26,31,VfL Wolfsburg,germany,2010
Keisuke Honda,japan,MF,1986-06-13,23,15,CSKA Moscow,russia,2010
Takayuki Morimoto,japan,FW,1988-05-07,22,6,Catania,italy,2010
Junichi Inamoto,japan,MF,1979-09-18,30,80,Kawasaki Frontale,japan,2010
Eiji Kawashima,japan,GK,1983-03-20,27,10,Kawasaki Frontale,japan,2010
Yuji Nakazawa,japan,DF,1978-02-25,32,105,Yokohama F. Marinos,japan,2010
Yoshikatsu Kawaguchi,japan,GK,1975-08-15,34,116,Júbilo Iwata,japan,2010
Maarten Stekelenburg,netherlands,GK,1982-09-22,27,25,Ajax,netherlands,2010
Gregory van der Wiel,netherlands,DF,1988-02-03,22,8,Ajax,netherlands,2010
John Heitinga,netherlands,DF,1983-11-15,26,51,Everton,england,2010
Joris Mathijsen,netherlands,DF,1980-04-05,30,53,Hamburger SV,germany,2010
Giovanni van Bronckhorst,netherlands,DF,1975-02-05,35,97,Feyenoord,netherlands,2010
Mark van Bommel,netherlands,MF,1977-04-22,33,54,Bayern Munich,germany,2010
Dirk Kuyt,netherlands,FW,1980-07-22,29,60,Liverpool,england,2010
Nigel de Jong,netherlands,MF,1984-11-30,25,40,Manchester City,england,2010
Robin van Persie,netherlands,FW,1983-08-06,26,41,Arsenal,england,2010
Wesley Sneijder,netherlands,MF,1984-06-09,26,59,Internazionale,italy,2010
Arjen Robben,netherlands,FW,1984-01-23,26,46,Bayern Munich,germany,2010
Khalid Boulahrouz,netherlands,DF,1981-12-28,28,28,VfB Stuttgart,germany,2010
André Ooijer,netherlands,DF,1974-07-11,35,53,PSV Eindhoven,netherlands,2010
Demy de Zeeuw,netherlands,MF,1983-05-26,27,23,Ajax,netherlands,2010
Edson Braafheid,netherlands,DF,1983-04-08,27,5,Celtic,scotland,2010
Michel Vorm,netherlands,GK,1983-10-20,26,3,Utrecht,netherlands,2010
Eljero Elia,netherlands,FW,1987-02-13,23,5,Hamburger SV,germany,2010
Stijn Schaars,netherlands,MF,1984-01-11,26,11,AZ,netherlands,2010
Ryan Babel,netherlands,FW,1986-12-19,23,38,Liverpool,england,2010
Ibrahim Afellay,netherlands,MF,1986-04-02,24,20,PSV Eindhoven,netherlands,2010
Klaas-Jan Huntelaar,netherlands,FW,1983-08-12,26,30,Milan,italy,2010
Sander Boschker,netherlands,GK,1970-10-20,39,1[7],Twente,netherlands,2010
Rafael van der Vaart,netherlands,MF,1983-02-11,27,75,Real Madrid,spain,2010
Gianluigi Buffon,italy,GK,1978-01-28,32,101,Juventus,italy,2010
Christian Maggio,italy,DF,1982-02-11,28,5,Napoli,italy,2010
Domenico Criscito,italy,DF,1986-12-30,23,7,Genoa,italy,2010
Giorgio Chiellini,italy,DF,1984-08-14,25,29,Juventus,italy,2010
Fabio Cannavaro,italy,DF,1973-09-13,36,133,Juventus,italy,2010
Daniele De Rossi,italy,MF,1983-07-24,26,54,Roma,italy,2010
Simone Pepe,italy,MF,1983-08-30,26,15,Udinese,italy,2010
Gennaro Gattuso,italy,MF,1978-01-09,32,72,Milan,italy,2010
Vincenzo Iaquinta,italy,FW,1979-11-21,30,37,Juventus,italy,2010
Antonio Di Natale,italy,FW,1977-10-13,32,33,Udinese,italy,2010
Alberto Gilardino,italy,FW,1982-07-05,27,41,Fiorentina,italy,2010
Federico Marchetti,italy,GK,1983-02-07,27,5,Cagliari,italy,2010
Salvatore Bocchetti,italy,DF,1986-11-30,23,5,Genoa,italy,2010
Morgan De Sanctis,italy,GK,1977-03-26,33,3,Napoli,italy,2010
Claudio Marchisio,italy,MF,1986-01-19,24,4,Juventus,italy,2010
Mauro Camoranesi,italy,MF,1976-10-04,33,53,Juventus,italy,2010
Angelo Palombo,italy,MF,1981-09-25,28,17,Sampdoria,italy,2010
Fabio Quagliarella,italy,FW,1983-01-31,27,20,Napoli,italy,2010
Gianluca Zambrotta,italy,DF,1977-02-19,33,94,Milan,italy,2010
Giampaolo Pazzini,italy,FW,1984-08-02,25,8,Sampdoria,italy,2010
Andrea Pirlo,italy,MF,1979-05-19,31,66,Milan,italy,2010
Riccardo Montolivo,italy,MF,1985-01-18,25,13,Fiorentina,italy,2010
Leonardo Bonucci,italy,DF,1987-05-01,23,2,Bari,italy,2010
Mark Paston,new zealand,GK,1976-12-13,33,23,Wellington Phoenix,australia,2010
Ben Sigmund,new zealand,DF,1981-02-03,29,14,Wellington Phoenix,australia,2010
Tony Lochhead,new zealand,DF,1982-01-12,28,30,Wellington Phoenix,australia,2010
Winston Reid,new zealand,DF,1988-07-03,21,3,Midtjylland,denmark,2010
Ivan Vicelich,new zealand,DF,1976-09-03,33,66,Auckland City,new zealand,2010
Ryan Nelsen,new zealand,DF,1977-10-18,32,41,Blackburn Rovers,england,2010
Simon Elliott,new zealand,MF,1974-06-10,36,63,,,2010
Tim Brown,new zealand,MF,1981-03-06,29,25,Wellington Phoenix,australia,2010
Shane Smeltz,new zealand,FW,1981-09-29,28,30,Gold Coast United,australia,2010
Chris Killen,new zealand,FW,1981-10-08,28,31,Middlesbrough,england,2010
Leo Bertos,new zealand,MF,1981-12-20,28,34,Wellington Phoenix,australia,2010
Glen Moss,new zealand,GK,1983-01-19,27,15,Melbourne Victory,australia,2010
Andy Barron,new zealand,MF,1980-12-24,29,11,Team Wellington,new zealand,2010
Rory Fallon,new zealand,FW,1982-03-20,28,7,Plymouth Argyle,england,2010
Michael McGlinchey,new zealand,MF,1987-01-07,23,5,Motherwell,scotland,2010
Aaron Clapham,new zealand,MF,1987-01-01,23,0,Canterbury United,new zealand,2010
David Mulligan,new zealand,MF,1982-03-24,28,25,,,2010
Andrew Boyens,new zealand,DF,1983-09-18,26,15,New York Red Bulls,usa,2010
Tommy Smith,new zealand,DF,1990-03-31,20,4,Ipswich Town,england,2010
Chris Wood,new zealand,FW,1991-12-07,18,9,West Bromwich Albion,england,2010
Jeremy Christie,new zealand,MF,1983-05-22,27,22,Tampa Bay,usa,2010
Jeremy Brockie,new zealand,MF,1987-10-07,22,18,Newcastle Jets,australia,2010
James Bannatyne,new zealand,GK,1975-06-30,34,3,Team Wellington,new zealand,2010
Justo Villar,paraguay,GK,1977-06-30,32,71,Real Valladolid,spain,2010
Darío Verón,paraguay,DF,1979-06-26,30,27,UNAM,mexico,2010
Claudio Morel,paraguay,DF,1978-02-02,32,25,Boca Juniors,argentina,2010
Denis Caniza,paraguay,DF,1974-08-29,35,95,León,mexico,2010
Julio César Cáceres,paraguay,DF,1979-10-05,30,59,Atlético Mineiro,brazil,2010
Carlos Bonet,paraguay,DF,1977-10-02,32,60,Olimpia,paraguay,2010
Óscar Cardozo,paraguay,FW,1983-05-20,27,29,Benfica,portugal,2010
Édgar Barreto,paraguay,MF,1984-07-15,25,47,Atalanta,italy,2010
Roque Santa Cruz,paraguay,FW,1981-08-16,28,66,Manchester City,england,2010
Édgar Benítez,paraguay,FW,1987-11-08,22,12,Pachuca,mexico,2010
Jonathan Santana,paraguay,MF,1981-10-19,28,21,VfL Wolfsburg,germany,2010
Diego Barreto,paraguay,GK,1981-07-16,28,2,Cerro Porteño,paraguay,2010
Enrique Vera,paraguay,MF,1979-03-10,31,25,LDU Quito,ecuador,2010
Paulo da Silva,paraguay,DF,1980-02-01,30,67,Sunderland,england,2010
Víctor Cáceres,paraguay,MF,1985-03-25,25,25,Libertad,paraguay,2010
Cristian Riveros,paraguay,MF,1982-10-16,27,45,Cruz Azul,mexico,2010
Aureliano Torres,paraguay,DF,1982-06-16,27,25,San Lorenzo,argentina,2010
Nelson Valdez,paraguay,FW,1983-11-28,26,38,Borussia Dortmund,germany,2010
Lucas Barrios,paraguay,FW,1984-11-13,25,3,Borussia Dortmund,germany,2010
Néstor Ortigoza,paraguay,MF,1984-10-07,25,3,Argentinos Juniors,argentina,2010
Antolín Alcaraz,paraguay,DF,1982-07-30,27,5,Club Brugge,belgium,2010
Aldo Bobadilla,paraguay,GK,1976-04-20,34,18,Independiente Medellín,colombia,2010
Rodolfo Gamarra,paraguay,FW,1988-12-10,21,2,Libertad,paraguay,2010
Ján Mucha,slovakia,GK,1982-12-05,27,15,Legia Warszawa,poland,2010
Peter Pekarík,slovakia,DF,1986-10-30,23,21,VfL Wolfsburg,germany,2010
Martin Škrtel,slovakia,DF,1984-12-15,25,39,Liverpool,england,2010
Marek Čech,slovakia,DF,1983-01-26,27,40,West Bromwich Albion,england,2010
Radoslav Zabavník,slovakia,DF,1980-09-16,29,44,Mainz 05,germany,2010
Zdeno Štrba,slovakia,MF,1976-06-09,34,21,Skoda Xanthi,greece,2010
Vladimír Weiss,slovakia,MF,1989-11-30,20,9,Bolton Wanderers,england,2010
Ján Kozák,slovakia,MF,1980-04-22,30,24,Timișoara,romania,2010
Stanislav Šesták,slovakia,MF,1982-12-16,27,33,VfL Bochum,germany,2010
Marek Sapara,slovakia,MF,1982-07-31,27,25,Ankaragücü,turkey,2010
Róbert Vittek,slovakia,FW,1982-04-01,28,70,Ankaragücü,turkey,2010
Dušan Perniš,slovakia,GK,1984-11-28,25,3,Dundee United,scotland,2010
Filip Hološko,slovakia,FW,1984-01-17,26,38,Beşiktaş,turkey,2010
Martin Jakubko,slovakia,FW,1980-02-26,30,24,Saturn Moscow Oblast,russia,2010
Miroslav Stoch,slovakia,MF,1989-10-19,20,12,Twente,netherlands,2010
Ján Ďurica,slovakia,DF,1981-12-10,28,39,Hannover 96,germany,2010
Marek Hamšík,slovakia,MF,1987-07-27,22,32,Napoli,italy,2010
Erik Jendrišek,slovakia,FW,1986-10-26,23,15,1. FC Kaiserslautern,germany,2010
Juraj Kucka,slovakia,MF,1987-02-26,23,6,Sparta Prague,czech republic,2010
Kamil Kopúnek,slovakia,MF,1984-05-18,26,9,Spartak Trnava,slovakia,2010
Kornel Saláta,slovakia,DF,1985-01-04,25,4,Slovan Bratislava,slovakia,2010
Martin Petráš,slovakia,DF,1979-11-02,30,38,Cesena,italy,2010
Dušan Kuciak,slovakia,GK,1985-05-21,25,3,Vaslui,romania,2010
Júlio César,brazil,GK,1979-09-03,30,48,Internazionale,italy,2010
Maicon,brazil,DF,1981-07-26,28,58,Internazionale,italy,2010
Lúcio,brazil,DF,1978-05-08,32,91,Internazionale,italy,2010
Juan,brazil,DF,1979-02-01,31,74,Roma,italy,2010
Felipe Melo,brazil,MF,1983-08-26,26,18,Juventus,italy,2010
Michel Bastos,brazil,DF,1983-08-02,26,5,Lyon,france,2010
Elano,brazil,MF,1981-06-14,28,43,Galatasaray,turkey,2010
Gilberto Silva,brazil,MF,1976-10-07,33,88,Panathinaikos,greece,2010
Luís Fabiano,brazil,FW,1980-11-08,29,38,Sevilla,spain,2010
Kaká,brazil,MF,1982-04-22,28,78,Real Madrid,spain,2010
Robinho,brazil,FW,1984-01-25,26,75,Santos,brazil,2010
Heurelho Gomes,brazil,GK,1981-02-15,29,11,Tottenham Hotspur,england,2010
Dani Alves,brazil,DF,1983-05-06,27,35,Barcelona,spain,2010
Luisão,brazil,DF,1981-02-13,29,42,Benfica,portugal,2010
Thiago Silva,brazil,DF,1984-09-22,25,7,Milan,italy,2010
Gilberto,brazil,DF,1976-04-25,34,33,Cruzeiro,brazil,2010
Josué,brazil,MF,1979-07-19,30,27,VfL Wolfsburg,germany,2010
Ramires,brazil,MF,1987-03-24,23,12,Benfica,portugal,2010
Júlio Baptista,brazil,MF,1981-10-01,28,46,Roma,italy,2010
Kléberson,brazil,MF,1979-06-19,30,31,Flamengo,brazil,2010
Nilmar,brazil,FW,1984-07-14,25,17,Villarreal,spain,2010
Doni,brazil,GK,1979-10-22,30,10,Roma,italy,2010
Grafite,brazil,FW,1979-04-02,31,3,VfL Wolfsburg,germany,2010
Boubacar Barry,côte d'ivoire,GK,1979-12-30,30,45,Lokeren,belgium,2010
Benjamin Angoua,côte d'ivoire,DF,1986-11-28,23,7,Valenciennes,france,2010
Arthur Boka,côte d'ivoire,DF,1983-04-02,27,54,VfB Stuttgart,germany,2010
Kolo Touré,côte d'ivoire,DF,1981-03-19,29,76,Manchester City,england,2010
Didier Zokora,côte d'ivoire,MF,1980-12-14,29,80,Sevilla,spain,2010
Steve Gohouri,côte d'ivoire,DF,1981-02-08,29,11,Wigan Athletic,england,2010
Seydou Doumbia,côte d'ivoire,FW,1987-12-31,22,5,Young Boys,switzerland,2010
Salomon Kalou,côte d'ivoire,FW,1985-08-05,24,28,Chelsea,england,2010
Cheick Tioté,côte d'ivoire,MF,1986-06-21,23,8,Twente,netherlands,2010
Gervinho,côte d'ivoire,FW,1987-05-27,23,15,Lille,france,2010
Didier Drogba,côte d'ivoire,FW,1978-03-11,32,68,Chelsea,england,2010
Jean-Jacques Gosso,côte d'ivoire,MF,1983-03-15,27,6,Monaco,france,2010
Romaric,côte d'ivoire,MF,1983-06-04,27,38,Sevilla,spain,2010
Emmanuel Koné,côte d'ivoire,MF,1986-12-31,23,12,Internațional,romania,2010
Aruna Dindane,côte d'ivoire,FW,1980-11-26,29,54,Portsmouth,england,2010
Aristide Zogbo,côte d'ivoire,GK,1981-12-30,28,6,Maccabi Netanya,israel,2010
Siaka Tiéné,côte d'ivoire,DF,1982-03-22,28,55,Valenciennes,france,2010
Kader Keïta,côte d'ivoire,MF,1981-08-06,28,55,Galatasaray,turkey,2010
Yaya Touré,côte d'ivoire,MF,1983-05-13,27,47,Barcelona,spain,2010
Guy Demel,côte d'ivoire,DF,1981-06-13,28,26,Hamburger SV,germany,2010
Emmanuel Eboué,côte d'ivoire,DF,1983-06-04,27,52,Arsenal,england,2010
Sol Bamba,côte d'ivoire,DF,1985-01-13,25,16,Hibernian,scotland,2010
Daniel Yeboah,côte d'ivoire,GK,1984-11-13,25,4,ASEC Mimosas,côte d'ivoire,2010
Ri Myong-guk,korea dpr,GK,1986-09-09,23,28,Pyongyang City,korea dpr,2010
Cha Jong-hyok,korea dpr,DF,1985-09-25,24,31,Amrokgang,korea dpr,2010
Ri Jun-il,korea dpr,DF,1987-08-24,22,26,Sobaeksu,korea dpr,2010
Pak Nam-chol,korea dpr,MF,1985-07-02,24,35,April 25,korea dpr,2010
Ri Kwang-chon,korea dpr,DF,1985-09-04,24,41,April 25,korea dpr,2010
Kim Kum-il,korea dpr,MF,1987-10-10,22,11,April 25,korea dpr,2010
An Chol-hyok,korea dpr,FW,1985-06-27,24,16,Rimyongsu,korea dpr,2010
Ji Yun-nam,korea dpr,DF,1976-11-20,33,23,April 25,korea dpr,2010
Jong Tae-se,korea dpr,FW,1984-03-02,26,20,Kawasaki Frontale,japan,2010
Hong Yong-jo,korea dpr,FW,1982-05-22,28,40,Rostov,russia,2010
Mun In-guk,korea dpr,MF,1978-09-29,31,42,April 25,korea dpr,2010
Choe Kum-chol,korea dpr,FW,1987-02-09,23,16,April 25,korea dpr,2010
Pak Chol-jin,korea dpr,DF,1985-09-05,24,34,Amrokgang,korea dpr,2010
Pak Nam-Chol,korea dpr,DF,1988-10-03,21,12,Amrokgang,korea dpr,2010
Kim Yong-jun,korea dpr,MF,1983-07-19,26,52,Pyongyang City,korea dpr,2010
Nam Song-chol,korea dpr,DF,1982-05-07,28,41,April 25,korea dpr,2010
An Yong-hak,korea dpr,MF,1978-10-25,31,24,Omiya Ardija,japan,2010
Kim Myong-gil,korea dpr,GK,1984-10-16,25,10,Amrokgang,korea dpr,2010
Ri Chol-myong,korea dpr,MF,1988-02-18,22,10,Pyongyang City,korea dpr,2010
Kim Myong-won,korea dpr,GK,1983-07-15,26,9,Amrokgang,korea dpr,2010
Ri Kwang-hyok,korea dpr,DF,1987-08-17,22,15,Kyonggongop,korea dpr,2010
Kim Kyong-il,korea dpr,MF,1988-12-11,21,7,Rimyongsu,korea dpr,2010
Pak Sung-hyok,korea dpr,MF,1990-05-30,20,3,Sobaeksu,korea dpr,2010
Eduardo,portugal,GK,1982-09-19,27,15,Braga,portugal,2010
Bruno Alves,portugal,DF,1981-11-27,28,31,Porto,portugal,2010
Paulo Ferreira,portugal,DF,1979-01-18,31,61,Chelsea,england,2010
Rolando,portugal,DF,1985-08-31,24,8,Porto,portugal,2010
Duda,portugal,MF,1980-06-27,29,16,Málaga,spain,2010
Ricardo Carvalho,portugal,DF,1978-05-18,32,63,Chelsea,england,2010
Cristiano Ronaldo,portugal,FW,1985-02-05,25,72,Real Madrid,spain,2010
Pedro Mendes,portugal,MF,1979-02-26,31,8,Sporting CP,portugal,2010
Liédson,portugal,FW,1977-12-17,32,10,Sporting CP,portugal,2010
Danny,portugal,MF,1983-08-07,26,11,Zenit Saint Petersburg,russia,2010
Simão,portugal,MF,1979-10-31,30,81,Atlético Madrid,spain,2010
Beto,portugal,GK,1982-05-01,28,1,Porto,portugal,2010
Miguel,portugal,DF,1980-01-04,30,57,Valencia,spain,2010
Miguel Veloso,portugal,MF,1986-05-11,24,12,Sporting CP,portugal,2010
Pepe,portugal,DF,1983-02-26,27,25,Real Madrid,spain,2010
Raul Meireles,portugal,MF,1983-03-17,27,34,Porto,portugal,2010
Rúben Amorim,portugal,MF,1985-01-27,25,0,Benfica,portugal,2010
Hugo Almeida,portugal,FW,1984-05-23,26,26,Werder Bremen,germany,2010
Tiago,portugal,MF,1981-05-02,29,51,Atlético Madrid,spain,2010
Deco,portugal,MF,1977-08-27,32,74,Chelsea,england,2010
Ricardo Costa,portugal,DF,1981-05-16,29,8,Lille,france,2010
Daniel Fernandes,portugal,GK,1983-09-25,26,2,Iraklis,greece,2010
Fábio Coentrão,portugal,DF,1988-03-11,22,4,Benfica,portugal,2010
Claudio Bravo,chile,GK,1983-04-13,27,41,Real Sociedad,spain,2010
Ismael Fuentes,chile,DF,1981-08-04,28,25,Universidad Católica,chile,2010
Waldo Ponce,chile,DF,1982-12-04,27,23,Universidad Católica,chile,2010
Mauricio Isla,chile,MF,1988-06-12,21,10,Udinese,italy,2010
Pablo Contreras,chile,DF,1978-09-11,31,49,PAOK,greece,2010
Carlos Carmona,chile,MF,1987-02-21,23,18,Reggina,italy,2010
Alexis Sánchez,chile,FW,1988-12-19,21,26,Udinese,italy,2010
Arturo Vidal,chile,MF,1987-05-22,23,21,Bayer Leverkusen,germany,2010
Humberto Suazo,chile,FW,1981-05-10,29,41,Real Zaragoza,spain,2010
Jorge Valdivia,chile,MF,1983-10-19,26,36,Al-Ain,united arab emirates,2010
Mark González,chile,FW,1984-07-10,25,38,CSKA Moscow,russia,2010
Miguel Pinto,chile,GK,1983-07-04,26,13,Universidad de Chile,chile,2010
Marco Estrada,chile,MF,1983-05-28,27,20,Universidad de Chile,chile,2010
Matías Fernández,chile,MF,1986-05-15,24,35,Sporting CP,portugal,2010
Jean Beausejour,chile,FW,1984-06-01,26,23,América,mexico,2010
Fabián Orellana,chile,FW,1986-01-27,24,13,Xerez,spain,2010
Gary Medel,chile,DF,1987-08-03,22,23,Boca Juniors,argentina,2010
Gonzalo Jara,chile,DF,1985-08-29,24,31,West Bromwich Albion,england,2010
Gonzalo Fierro,chile,MF,1983-03-21,27,16,Flamengo,brazil,2010
Rodrigo Millar,chile,MF,1981-11-03,28,19,Colo-Colo,chile,2010
Rodrigo Tello,chile,MF,1979-10-14,30,32,Beşiktaş,turkey,2010
Esteban Paredes,chile,FW,1980-08-01,29,12,Colo-Colo,chile,2010
Luis Marín,chile,GK,1983-05-18,27,2,Unión Española,chile,2010
Ricardo Canales,honduras,GK,1982-05-30,28,2,Motagua,honduras,2010
Osman Chávez,honduras,DF,1984-07-29,25,26,Platense,honduras,2010
Maynor Figueroa,honduras,DF,1983-05-02,27,66,Wigan Athletic,england,2010
Johnny Palacios,honduras,DF,1986-12-20,23,4,Olimpia,honduras,2010
Víctor Bernárdez,honduras,DF,1982-05-24,28,40,Anderlecht,belgium,2010
Hendry Thomas,honduras,MF,1985-02-23,25,39,Wigan Athletic,england,2010
Ramón Núñez,honduras,MF,1984-11-14,25,16,Olimpia,honduras,2010
Wilson Palacios,honduras,MF,1984-07-29,25,69,Tottenham Hotspur,england,2010
Carlos Pavón,honduras,FW,1973-10-19,36,98,Real España,honduras,2010
Jerry Palacios,honduras,FW,1982-11-01,27,11,Hangzhou Greentown,china pr,2010
David Suazo,honduras,FW,1979-11-05,30,50,Genoa,italy,2010
Georgie Welcome,honduras,FW,1985-03-09,25,11,Motagua,honduras,2010
Roger Espinoza,honduras,FW,1986-10-25,23,10,Kansas City Wizards,usa,2010
Boniek García,honduras,DF,1984-09-04,25,42,Olimpia,honduras,2010
