team,date,attack,defence,full_age,midfield,overall,prestige,start_age
Croatia,02 Nov  2017,80.0,78.0,1.0,82.0,80.0,6.0,1.0
Cameroon,02 Nov  2017,76.0,68.0,2.0,72.0,71.0,5.0,2.0
Serbia,02 Nov  2017,75.0,76.0,0.0,79.0,78.0,6.0,0.0
Australia,02 Nov  2017,72.0,71.0,5.0,73.0,73.0,5.0,5.0
Switzerland,02 Nov  2017,76.0,76.0,6.0,78.0,78.0,5.0,6.0
Sweden,02 Nov  2017,77.0,76.0,8.0,76.0,76.0,5.0,8.0
Republic of Ireland,02 Nov  2017,76.0,75.0,8.0,75.0,75.0,5.0,8.0
Korea Republic,02 Nov  2017,74.0,70.0,3.0,74.0,73.0,5.0,3.0
Belgium,02 Nov  2017,83.0,85.0,35.0,84.0,84.0,7.0,35.0
United States,02 Nov  2017,75.0,74.0,24.0,77.0,75.0,6.0,24.0
Norway,02 Nov  2017,74.0,72.0,9.0,73.0,74.0,4.0,9.0
Paraguay,02 Nov  2017,76.0,73.0,3.0,73.0,74.0,4.0,3.0
Ukraine,02 Nov  2017,73.0,70.0,0.0,72.0,76.0,14.0,0.0
Poland,02 Nov  2017,82.0,77.0,20.0,75.0,78.0,5.0,20.0
Bulgaria,02 Nov  2017,70.0,69.0,1.0,70.0,70.0,5.0,1.0
Finland,02 Nov  2017,71.0,69.0,7.0,71.0,71.0,3.0,7.0
Scotland,02 Nov  2017,75.0,73.0,8.0,75.0,74.0,4.0,8.0
Romania,02 Nov  2017,79.0,71.0,9.0,72.0,72.0,5.0,9.0
Austria,02 Nov  2017,78.0,77.0,4.0,77.0,77.0,4.0,4.0
Wales,02 Nov  2017,82.0,76.0,12.0,72.0,75.0,4.0,12.0
Slovenia,02 Nov  2017,71.0,74.0,1.0,74.0,74.0,5.0,1.0
Ecuador,02 Nov  2017,71.0,72.0,5.0,71.0,72.0,5.0,5.0
Tunisia,02 Nov  2017,75.0,71.0,1.0,71.0,73.0,3.0,1.0
Northern Ireland,02 Nov  2017,68.0,74.0,1.0,71.0,71.0,2.0,1.0
Hungary,02 Nov  2017,72.0,71.0,2.0,72.0,72.0,4.0,2.0
China PR,02 Nov  2017,71.0,69.0,6.0,70.0,70.0,3.0,6.0
Netherlands,02 Nov  2017,79.0,80.0,25.0,81.0,80.0,8.0,25.0
Czech Republic,02 Nov  2017,75.0,75.0,6.0,73.0,75.0,5.0,6.0
South Africa,02 Nov  2017,72.0,70.0,0.0,72.0,72.0,4.0,0.0
New Zealand,02 Nov  2017,68.0,66.0,2.0,70.0,67.0,2.0,2.0
Côte d'Ivoire,02 Nov  2017,75.0,77.0,3.0,77.0,76.0,6.0,3.0
Chile,02 Nov  2017,78.0,77.0,27.0,78.0,78.0,7.0,27.0
Colombia,02 Nov  2017,80.0,78.0,23.0,79.0,79.0,7.0,23.0
Peru,02 Nov  2017,73.0,69.0,14.0,72.0,71.0,3.0,14.0
Egypt,02 Nov  2017,79.0,70.0,8.0,71.0,72.0,5.0,8.0
Venezuela,02 Nov  2017,79.0,68.0,12.0,69.0,72.0,2.0,12.0
Bolivia,02 Nov  2017,75.0,65.0,6.0,65.0,66.0,1.0,6.0
India,02 Nov  2017,63.0,58.0,5.0,58.0,60.0,1.0,5.0
Canada,02 Nov  2017,69.0,66.0,4.0,69.0,68.0,2.0,4.0
Saudi Arabia,02 Nov  2017,73.0,73.0,1.0,73.0,73.0,4.0,1.0
Iceland,02 Nov  2017,72.0,69.0,2.0,74.0,72.0,2.0,2.0
Morocco,02 Nov  2017,74.0,77.0,0.0,77.0,76.0,3.0,0.0
Senegal,02 Nov  2017,77.0,76.0,1.0,77.0,76.0,7.0,1.0
Japan,02 Nov  2017,76.0,74.0,0.0,77.0,75.0,5.0,0.0
Iran,02 Nov  2017,76.0,71.0,0.0,71.0,74.0,3.0,0.0
Costa Rica,02 Nov  2017,69.0,73.0,0.0,73.0,73.0,3.0,0.0
Panama,02 Nov  2017,68.0,68.0,0.0,68.0,69.0,1.0,0.0
Brazil,30 Oct  2017,85.0,85.0,48.0,82.0,84.0,10.0,48.0
England,30 Oct  2017,82.0,81.0,24.0,82.0,82.0,8.0,24.0
Italy,30 Oct  2017,81.0,83.0,30.0,80.0,83.0,9.0,30.0
Spain,30 Oct  2017,84.0,86.0,32.0,86.0,86.0,9.0,32.0
France,30 Oct  2017,84.0,82.0,61.0,84.0,84.0,9.0,61.0
Germany,30 Oct  2017,82.0,84.0,63.0,85.0,85.0,10.0,63.0
Argentina,30 Oct  2017,84.0,81.0,38.0,82.0,82.0,9.0,38.0
Portugal,30 Oct  2017,86.0,80.0,37.0,82.0,83.0,8.0,37.0
Turkey,30 Oct  2017,78.0,79.0,12.0,76.0,77.0,6.0,12.0
Nigeria,30 Oct  2017,75.0,73.0,0.0,75.0,75.0,4.0,0.0
Denmark,30 Oct  2017,75.0,75.0,7.0,78.0,78.0,5.0,7.0
Russia,30 Oct  2017,77.0,75.0,6.0,76.0,76.0,6.0,6.0
Mexico,30 Oct  2017,78.0,75.0,50.0,78.0,78.0,7.0,50.0
Uruguay,30 Oct  2017,85.0,79.0,12.0,74.0,80.0,7.0,12.0
Greece,30 Oct  2017,81.0,79.0,5.0,74.0,77.0,6.0,5.0
Croatia,30 Oct  2017,80.0,78.0,1.0,82.0,80.0,6.0,1.0
Cameroon,30 Oct  2017,73.0,68.0,2.0,72.0,70.0,5.0,2.0
Serbia,30 Oct  2017,75.0,76.0,0.0,79.0,78.0,6.0,0.0
Australia,30 Oct  2017,72.0,71.0,5.0,73.0,73.0,5.0,5.0
Switzerland,30 Oct  2017,76.0,76.0,6.0,78.0,78.0,5.0,6.0
Sweden,30 Oct  2017,77.0,76.0,8.0,76.0,76.0,5.0,8.0
Republic of Ireland,30 Oct  2017,76.0,75.0,8.0,75.0,75.0,5.0,8.0
Korea Republic,30 Oct  2017,74.0,70.0,3.0,74.0,73.0,5.0,3.0
Belgium,30 Oct  2017,83.0,85.0,35.0,84.0,84.0,7.0,35.0
United States,30 Oct  2017,75.0,74.0,24.0,77.0,76.0,6.0,24.0
Norway,30 Oct  2017,74.0,72.0,9.0,73.0,74.0,4.0,9.0
Paraguay,30 Oct  2017,76.0,73.0,3.0,73.0,74.0,4.0,3.0
Ukraine,30 Oct  2017,73.0,70.0,0.0,72.0,76.0,14.0,0.0
Poland,30 Oct  2017,82.0,77.0,20.0,75.0,78.0,5.0,20.0
Bulgaria,30 Oct  2017,70.0,69.0,1.0,70.0,70.0,5.0,1.0
Finland,30 Oct  2017,71.0,69.0,7.0,71.0,71.0,3.0,7.0
Scotland,30 Oct  2017,75.0,73.0,8.0,75.0,74.0,4.0,8.0
Romania,30 Oct  2017,79.0,71.0,9.0,72.0,73.0,5.0,9.0
Austria,30 Oct  2017,78.0,77.0,4.0,77.0,77.0,4.0,4.0
Wales,30 Oct  2017,82.0,77.0,12.0,72.0,75.0,4.0,12.0
Slovenia,30 Oct  2017,73.0,73.0,1.0,75.0,74.0,5.0,1.0
Ecuador,30 Oct  2017,71.0,72.0,5.0,71.0,72.0,5.0,5.0
Tunisia,30 Oct  2017,75.0,71.0,1.0,71.0,73.0,3.0,1.0
Northern Ireland,30 Oct  2017,68.0,73.0,1.0,71.0,71.0,2.0,1.0
Hungary,30 Oct  2017,72.0,71.0,2.0,72.0,72.0,4.0,2.0
China PR,30 Oct  2017,71.0,69.0,6.0,70.0,70.0,3.0,6.0
Netherlands,30 Oct  2017,79.0,80.0,25.0,81.0,80.0,8.0,25.0
Czech Republic,30 Oct  2017,75.0,75.0,6.0,73.0,75.0,5.0,6.0
South Africa,30 Oct  2017,72.0,70.0,0.0,72.0,72.0,4.0,0.0
New Zealand,30 Oct  2017,68.0,66.0,2.0,70.0,67.0,2.0,2.0
Côte d'Ivoire,30 Oct  2017,75.0,77.0,3.0,77.0,76.0,6.0,3.0
Chile,30 Oct  2017,78.0,77.0,27.0,78.0,78.0,7.0,27.0
Colombia,30 Oct  2017,80.0,78.0,23.0,79.0,79.0,7.0,23.0
Peru,30 Oct  2017,73.0,69.0,14.0,72.0,71.0,3.0,14.0
Egypt,30 Oct  2017,79.0,70.0,8.0,71.0,72.0,5.0,8.0
Venezuela,30 Oct  2017,79.0,68.0,12.0,69.0,71.0,2.0,12.0
Bolivia,30 Oct  2017,75.0,65.0,6.0,65.0,66.0,1.0,6.0
India,30 Oct  2017,63.0,58.0,5.0,58.0,60.0,1.0,5.0
Canada,30 Oct  2017,68.0,66.0,4.0,69.0,68.0,2.0,4.0
Saudi Arabia,30 Oct  2017,73.0,73.0,1.0,73.0,73.0,4.0,1.0
Iceland,30 Oct  2017,72.0,69.0,2.0,75.0,72.0,2.0,2.0
Morocco,30 Oct  2017,74.0,77.0,0.0,77.0,76.0,3.0,0.0
Senegal,30 Oct  2017,77.0,76.0,1.0,77.0,76.0,7.0,1.0
Japan,30 Oct  2017,76.0,74.0,0.0,77.0,75.0,5.0,0.0
Iran,30 Oct  2017,76.0,71.0,0.0,71.0,74.0,3.0,0.0
Costa Rica,30 Oct  2017,69.0,73.0,0.0,73.0,73.0,3.0,0.0
Panama,30 Oct  2017,68.0,68.0,0.0,68.0,69.0,1.0,0.0
Brazil,26 Oct  2017,85.0,85.0,48.0,82.0,84.0,10.0,48.0
England,26 Oct  2017,82.0,81.0,24.0,82.0,82.0,8.0,24.0
Italy,26 Oct  2017,81.0,83.0,30.0,80.0,83.0,9.0,30.0
Spain,26 Oct  2017,84.0,86.0,32.0,86.0,86.0,9.0,32.0
France,26 Oct  2017,84.0,82.0,61.0,84.0,84.0,9.0,61.0
Germany,26 Oct  2017,82.0,84.0,63.0,85.0,85.0,10.0,63.0
Argentina,26 Oct  2017,84.0,81.0,38.0,82.0,82.0,9.0,38.0
Portugal,26 Oct  2017,86.0,80.0,37.0,82.0,83.0,8.0,37.0
Turkey,26 Oct  2017,78.0,79.0,12.0,76.0,77.0,6.0,12.0
Nigeria,26 Oct  2017,75.0,73.0,0.0,75.0,75.0,4.0,0.0
Denmark,26 Oct  2017,75.0,75.0,7.0,78.0,78.0,5.0,7.0
Russia,26 Oct  2017,77.0,75.0,6.0,76.0,76.0,6.0,6.0
Mexico,26 Oct  2017,78.0,75.0,50.0,78.0,78.0,7.0,50.0
Uruguay,26 Oct  2017,85.0,79.0,12.0,74.0,80.0,7.0,12.0
Greece,26 Oct  2017,81.0,79.0,5.0,74.0,77.0,6.0,5.0
Croatia,26 Oct  2017,80.0,78.0,1.0,82.0,80.0,6.0,1.0
Cameroon,26 Oct  2017,73.0,68.0,2.0,72.0,70.0,5.0,2.0
Serbia,26 Oct  2017,75.0,76.0,0.0,79.0,78.0,6.0,0.0
Australia,26 Oct  2017,72.0,71.0,5.0,73.0,73.0,5.0,5.0
Switzerland,26 Oct  2017,76.0,76.0,6.0,78.0,78.0,5.0,6.0
Sweden,26 Oct  2017,77.0,76.0,8.0,76.0,76.0,5.0,8.0
Republic of Ireland,26 Oct  2017,76.0,75.0,8.0,75.0,75.0,5.0,8.0
Korea Republic,26 Oct  2017,74.0,70.0,3.0,74.0,73.0,5.0,3.0
Belgium,26 Oct  2017,83.0,85.0,35.0,84.0,84.0,7.0,35.0
United States,26 Oct  2017,75.0,74.0,24.0,77.0,76.0,6.0,24.0
Norway,26 Oct  2017,74.0,72.0,9.0,73.0,74.0,4.0,9.0
Paraguay,26 Oct  2017,76.0,73.0,3.0,73.0,74.0,4.0,3.0
Ukraine,26 Oct  2017,73.0,70.0,0.0,72.0,76.0,14.0,0.0
Poland,26 Oct  2017,82.0,77.0,20.0,75.0,78.0,5.0,20.0
Bulgaria,26 Oct  2017,70.0,69.0,1.0,70.0,70.0,5.0,1.0
Finland,26 Oct  2017,71.0,69.0,7.0,71.0,71.0,3.0,7.0
Scotland,26 Oct  2017,75.0,73.0,8.0,75.0,74.0,4.0,8.0
Romania,26 Oct  2017,79.0,71.0,9.0,72.0,73.0,5.0,9.0
Austria,26 Oct  2017,78.0,77.0,4.0,77.0,77.0,4.0,4.0
Wales,26 Oct  2017,82.0,77.0,12.0,72.0,75.0,4.0,12.0
Slovenia,26 Oct  2017,73.0,73.0,1.0,75.0,74.0,5.0,1.0
Ecuador,26 Oct  2017,71.0,72.0,5.0,71.0,72.0,5.0,5.0
Tunisia,26 Oct  2017,75.0,71.0,1.0,71.0,73.0,3.0,1.0
Northern Ireland,26 Oct  2017,68.0,73.0,1.0,71.0,71.0,2.0,1.0
Hungary,26 Oct  2017,72.0,71.0,2.0,72.0,72.0,4.0,2.0
China PR,26 Oct  2017,71.0,69.0,6.0,70.0,70.0,3.0,6.0
Netherlands,26 Oct  2017,79.0,80.0,25.0,81.0,80.0,8.0,25.0
Czech Republic,26 Oct  2017,75.0,75.0,6.0,73.0,75.0,5.0,6.0
South Africa,26 Oct  2017,72.0,70.0,0.0,72.0,72.0,4.0,0.0
New Zealand,26 Oct  2017,68.0,66.0,2.0,70.0,67.0,2.0,2.0
Côte d'Ivoire,26 Oct  2017,75.0,77.0,3.0,77.0,76.0,6.0,3.0
Chile,26 Oct  2017,78.0,77.0,27.0,78.0,78.0,7.0,27.0
Colombia,26 Oct  2017,80.0,78.0,23.0,79.0,79.0,7.0,23.0
Peru,26 Oct  2017,73.0,69.0,14.0,72.0,71.0,3.0,14.0
Egypt,26 Oct  2017,79.0,70.0,8.0,71.0,72.0,5.0,8.0
Venezuela,26 Oct  2017,79.0,68.0,12.0,69.0,71.0,2.0,12.0
Bolivia,26 Oct  2017,75.0,65.0,6.0,65.0,66.0,1.0,6.0
India,26 Oct  2017,63.0,58.0,5.0,58.0,60.0,1.0,5.0
Canada,26 Oct  2017,68.0,66.0,4.0,69.0,68.0,2.0,4.0
Saudi Arabia,26 Oct  2017,73.0,73.0,1.0,73.0,73.0,4.0,1.0
Iceland,26 Oct  2017,72.0,69.0,2.0,75.0,72.0,2.0,2.0
Morocco,26 Oct  2017,74.0,77.0,0.0,77.0,76.0,3.0,0.0
Senegal,26 Oct  2017,77.0,76.0,1.0,77.0,76.0,7.0,1.0
Japan,26 Oct  2017,76.0,74.0,0.0,77.0,75.0,5.0,0.0
Iran,26 Oct  2017,76.0,71.0,0.0,71.0,74.0,3.0,0.0
Costa Rica,26 Oct  2017,69.0,73.0,0.0,73.0,73.0,3.0,0.0
Panama,26 Oct  2017,68.0,68.0,0.0,68.0,69.0,1.0,0.0
Brazil,23 Oct  2017,85.0,85.0,48.0,82.0,84.0,10.0,48.0
England,23 Oct  2017,82.0,81.0,24.0,82.0,82.0,8.0,24.0
Italy,23 Oct  2017,81.0,83.0,30.0,80.0,83.0,9.0,30.0
Spain,23 Oct  2017,84.0,86.0,32.0,86.0,86.0,9.0,32.0
France,23 Oct  2017,84.0,82.0,61.0,84.0,84.0,9.0,61.0
Germany,23 Oct  2017,82.0,84.0,63.0,85.0,85.0,10.0,63.0
Argentina,23 Oct  2017,84.0,80.0,38.0,81.0,82.0,9.0,38.0
Portugal,23 Oct  2017,86.0,80.0,37.0,82.0,83.0,8.0,37.0
Turkey,23 Oct  2017,78.0,79.0,12.0,76.0,77.0,6.0,12.0
Nigeria,23 Oct  2017,75.0,73.0,0.0,75.0,75.0,4.0,0.0
Denmark,23 Oct  2017,75.0,76.0,7.0,78.0,78.0,5.0,7.0
Russia,23 Oct  2017,77.0,75.0,6.0,76.0,76.0,6.0,6.0
Mexico,23 Oct  2017,78.0,75.0,50.0,79.0,78.0,7.0,50.0
Uruguay,23 Oct  2017,85.0,79.0,12.0,74.0,80.0,7.0,12.0
Greece,23 Oct  2017,81.0,79.0,5.0,74.0,77.0,6.0,5.0
Croatia,23 Oct  2017,80.0,78.0,1.0,82.0,80.0,6.0,1.0
Cameroon,23 Oct  2017,73.0,68.0,2.0,72.0,70.0,5.0,2.0
Serbia,23 Oct  2017,75.0,76.0,0.0,79.0,78.0,6.0,0.0
Australia,23 Oct  2017,72.0,71.0,5.0,73.0,73.0,5.0,5.0
Switzerland,23 Oct  2017,75.0,76.0,6.0,78.0,78.0,5.0,6.0
Sweden,23 Oct  2017,77.0,76.0,8.0,76.0,76.0,5.0,8.0
Republic of Ireland,23 Oct  2017,76.0,75.0,8.0,75.0,75.0,5.0,8.0
Korea Republic,23 Oct  2017,74.0,70.0,3.0,74.0,73.0,5.0,3.0
Belgium,23 Oct  2017,83.0,85.0,35.0,84.0,84.0,7.0,35.0
United States,23 Oct  2017,75.0,74.0,24.0,77.0,76.0,6.0,24.0
Norway,23 Oct  2017,74.0,72.0,9.0,73.0,74.0,4.0,9.0
Paraguay,23 Oct  2017,76.0,73.0,3.0,73.0,74.0,4.0,3.0
Ukraine,23 Oct  2017,73.0,70.0,0.0,72.0,76.0,14.0,0.0
Poland,23 Oct  2017,82.0,77.0,20.0,75.0,78.0,5.0,20.0
Bulgaria,23 Oct  2017,70.0,69.0,1.0,70.0,70.0,5.0,1.0
Finland,23 Oct  2017,71.0,69.0,7.0,71.0,71.0,3.0,7.0
Scotland,23 Oct  2017,75.0,73.0,8.0,75.0,74.0,4.0,8.0
Romania,23 Oct  2017,79.0,71.0,9.0,72.0,73.0,5.0,9.0
Austria,23 Oct  2017,78.0,77.0,4.0,77.0,77.0,4.0,4.0
Wales,23 Oct  2017,82.0,77.0,12.0,73.0,75.0,4.0,12.0
Slovenia,23 Oct  2017,74.0,73.0,1.0,75.0,75.0,5.0,1.0
Ecuador,23 Oct  2017,71.0,72.0,5.0,71.0,72.0,5.0,5.0
Tunisia,23 Oct  2017,75.0,71.0,1.0,71.0,73.0,3.0,1.0
Northern Ireland,23 Oct  2017,68.0,73.0,1.0,71.0,71.0,2.0,1.0
Hungary,23 Oct  2017,72.0,71.0,2.0,72.0,72.0,4.0,2.0
China PR,23 Oct  2017,71.0,69.0,6.0,70.0,70.0,3.0,6.0
Netherlands,23 Oct  2017,79.0,80.0,25.0,81.0,80.0,8.0,25.0
Czech Republic,23 Oct  2017,75.0,75.0,6.0,73.0,75.0,5.0,6.0
South Africa,23 Oct  2017,72.0,70.0,0.0,72.0,72.0,4.0,0.0
New Zealand,23 Oct  2017,72.0,65.0,2.0,70.0,67.0,2.0,2.0
Côte d'Ivoire,23 Oct  2017,75.0,77.0,3.0,77.0,76.0,6.0,3.0
Chile,23 Oct  2017,78.0,77.0,27.0,78.0,78.0,7.0,27.0
Colombia,23 Oct  2017,80.0,78.0,23.0,79.0,79.0,7.0,23.0
Peru,23 Oct  2017,73.0,69.0,14.0,72.0,71.0,3.0,14.0
Egypt,23 Oct  2017,79.0,70.0,8.0,71.0,72.0,5.0,8.0
Venezuela,23 Oct  2017,79.0,68.0,12.0,69.0,71.0,2.0,12.0
Bolivia,23 Oct  2017,75.0,65.0,6.0,65.0,66.0,1.0,6.0
India,23 Oct  2017,63.0,58.0,5.0,58.0,60.0,1.0,5.0
Canada,23 Oct  2017,68.0,66.0,4.0,69.0,68.0,2.0,4.0
Saudi Arabia,23 Oct  2017,73.0,73.0,1.0,73.0,73.0,4.0,1.0
Iceland,23 Oct  2017,72.0,69.0,2.0,75.0,72.0,2.0,2.0
Morocco,23 Oct  2017,74.0,77.0,0.0,77.0,76.0,3.0,0.0
Senegal,23 Oct  2017,77.0,76.0,1.0,77.0,76.0,7.0,1.0
Japan,23 Oct  2017,76.0,74.0,0.0,77.0,75.0,5.0,0.0
Iran,23 Oct  2017,76.0,71.0,0.0,71.0,74.0,3.0,0.0
Costa Rica,23 Oct  2017,69.0,73.0,0.0,73.0,73.0,3.0,0.0
Panama,23 Oct  2017,68.0,68.0,0.0,68.0,69.0,1.0,0.0
Brazil,19 Oct  2017,85.0,85.0,48.0,82.0,84.0,10.0,48.0
England,19 Oct  2017,82.0,81.0,24.0,82.0,82.0,8.0,24.0
Italy,19 Oct  2017,81.0,83.0,30.0,80.0,83.0,9.0,30.0
Spain,19 Oct  2017,84.0,86.0,32.0,86.0,86.0,9.0,32.0
France,19 Oct  2017,84.0,82.0,61.0,84.0,84.0,9.0,61.0
Germany,19 Oct  2017,82.0,84.0,63.0,85.0,85.0,10.0,63.0
Argentina,19 Oct  2017,82.0,80.0,38.0,85.0,82.0,9.0,38.0
Portugal,19 Oct  2017,86.0,80.0,37.0,82.0,83.0,8.0,37.0
Turkey,19 Oct  2017,78.0,79.0,12.0,76.0,77.0,6.0,12.0
Nigeria,19 Oct  2017,75.0,73.0,0.0,75.0,75.0,4.0,0.0
Denmark,19 Oct  2017,75.0,76.0,7.0,78.0,78.0,5.0,7.0
Russia,19 Oct  2017,77.0,75.0,6.0,76.0,76.0,6.0,6.0
Mexico,19 Oct  2017,78.0,75.0,50.0,79.0,78.0,7.0,50.0
Uruguay,19 Oct  2017,85.0,81.0,12.0,74.0,80.0,7.0,12.0
Greece,19 Oct  2017,81.0,79.0,5.0,74.0,77.0,6.0,5.0
Croatia,19 Oct  2017,80.0,78.0,1.0,82.0,80.0,6.0,1.0
Cameroon,19 Oct  2017,73.0,68.0,2.0,72.0,70.0,5.0,2.0
Serbia,19 Oct  2017,75.0,76.0,0.0,79.0,78.0,6.0,0.0
Australia,19 Oct  2017,72.0,71.0,5.0,73.0,73.0,5.0,5.0
Switzerland,19 Oct  2017,75.0,76.0,6.0,78.0,78.0,5.0,6.0
Sweden,19 Oct  2017,77.0,76.0,8.0,76.0,76.0,5.0,8.0
Republic of Ireland,19 Oct  2017,76.0,75.0,8.0,75.0,75.0,5.0,8.0
Korea Republic,19 Oct  2017,74.0,70.0,3.0,74.0,73.0,5.0,3.0
Belgium,19 Oct  2017,83.0,85.0,35.0,84.0,84.0,7.0,35.0
United States,19 Oct  2017,75.0,74.0,24.0,77.0,76.0,6.0,24.0
Norway,19 Oct  2017,74.0,72.0,9.0,73.0,74.0,4.0,9.0
Paraguay,19 Oct  2017,76.0,73.0,3.0,73.0,74.0,4.0,3.0
Ukraine,19 Oct  2017,73.0,70.0,0.0,72.0,76.0,14.0,0.0
Poland,19 Oct  2017,82.0,77.0,20.0,75.0,78.0,5.0,20.0
Bulgaria,19 Oct  2017,70.0,69.0,1.0,70.0,70.0,5.0,1.0
Finland,19 Oct  2017,71.0,69.0,7.0,71.0,71.0,3.0,7.0
Scotland,19 Oct  2017,75.0,73.0,8.0,75.0,74.0,4.0,8.0
Romania,19 Oct  2017,79.0,71.0,9.0,72.0,73.0,5.0,9.0
Austria,19 Oct  2017,78.0,77.0,4.0,77.0,77.0,4.0,4.0
Wales,19 Oct  2017,82.0,77.0,12.0,73.0,75.0,4.0,12.0
Slovenia,19 Oct  2017,74.0,73.0,1.0,75.0,75.0,5.0,1.0
Ecuador,19 Oct  2017,71.0,72.0,5.0,71.0,72.0,5.0,5.0
Tunisia,19 Oct  2017,75.0,71.0,1.0,71.0,73.0,3.0,1.0
Northern Ireland,19 Oct  2017,68.0,73.0,1.0,71.0,71.0,2.0,1.0
Hungary,19 Oct  2017,72.0,71.0,2.0,72.0,72.0,4.0,2.0
China PR,19 Oct  2017,71.0,69.0,6.0,70.0,70.0,3.0,6.0
Netherlands,19 Oct  2017,79.0,80.0,25.0,81.0,80.0,8.0,25.0
Czech Republic,19 Oct  2017,75.0,75.0,6.0,73.0,75.0,5.0,6.0
South Africa,19 Oct  2017,72.0,70.0,0.0,72.0,72.0,4.0,0.0
New Zealand,19 Oct  2017,69.0,65.0,2.0,70.0,67.0,2.0,2.0
Côte d'Ivoire,19 Oct  2017,75.0,77.0,3.0,77.0,76.0,6.0,3.0
Chile,19 Oct  2017,78.0,77.0,27.0,78.0,78.0,7.0,27.0
Colombia,19 Oct  2017,81.0,78.0,23.0,78.0,79.0,7.0,23.0
Peru,19 Oct  2017,73.0,69.0,14.0,72.0,72.0,3.0,14.0
Egypt,19 Oct  2017,79.0,70.0,8.0,71.0,72.0,5.0,8.0
Venezuela,19 Oct  2017,74.0,71.0,12.0,69.0,71.0,2.0,12.0
Bolivia,19 Oct  2017,67.0,66.0,6.0,66.0,67.0,1.0,6.0
India,19 Oct  2017,63.0,58.0,5.0,58.0,60.0,1.0,5.0
Canada,19 Oct  2017,68.0,66.0,4.0,69.0,68.0,2.0,4.0
Saudi Arabia,19 Oct  2017,73.0,73.0,1.0,73.0,73.0,4.0,1.0
Iceland,19 Oct  2017,72.0,69.0,2.0,75.0,72.0,2.0,2.0
Morocco,19 Oct  2017,74.0,77.0,0.0,77.0,76.0,3.0,0.0
Senegal,19 Oct  2017,77.0,76.0,1.0,77.0,76.0,7.0,1.0
Japan,19 Oct  2017,76.0,74.0,0.0,77.0,75.0,5.0,0.0
Iran,19 Oct  2017,76.0,71.0,0.0,71.0,74.0,3.0,0.0
Costa Rica,19 Oct  2017,69.0,73.0,0.0,73.0,73.0,3.0,0.0
Panama,19 Oct  2017,68.0,68.0,0.0,68.0,69.0,1.0,0.0
Brazil,16 Oct  2017,85.0,85.0,48.0,82.0,84.0,10.0,48.0
England,16 Oct  2017,83.0,81.0,24.0,82.0,82.0,8.0,24.0
Italy,16 Oct  2017,81.0,83.0,30.0,80.0,83.0,9.0,30.0
Spain,16 Oct  2017,84.0,86.0,32.0,86.0,86.0,9.0,32.0
France,16 Oct  2017,84.0,81.0,61.0,85.0,84.0,9.0,61.0
Germany,16 Oct  2017,82.0,83.0,63.0,85.0,85.0,10.0,63.0
Argentina,16 Oct  2017,82.0,80.0,38.0,85.0,82.0,9.0,38.0
Portugal,16 Oct  2017,86.0,80.0,37.0,82.0,83.0,8.0,37.0
Turkey,16 Oct  2017,78.0,79.0,12.0,76.0,77.0,6.0,12.0
Nigeria,16 Oct  2017,75.0,73.0,0.0,75.0,75.0,4.0,0.0
Denmark,16 Oct  2017,75.0,76.0,7.0,77.0,78.0,5.0,7.0
Russia,16 Oct  2017,77.0,75.0,6.0,76.0,76.0,6.0,6.0
Mexico,16 Oct  2017,79.0,77.0,50.0,78.0,78.0,7.0,50.0
Uruguay,16 Oct  2017,85.0,81.0,12.0,74.0,80.0,7.0,12.0
Greece,16 Oct  2017,81.0,79.0,5.0,74.0,77.0,6.0,5.0
Croatia,16 Oct  2017,80.0,78.0,1.0,82.0,80.0,6.0,1.0
Cameroon,16 Oct  2017,73.0,68.0,2.0,72.0,70.0,5.0,2.0
Serbia,16 Oct  2017,75.0,76.0,0.0,79.0,78.0,6.0,0.0
Australia,16 Oct  2017,72.0,71.0,5.0,73.0,73.0,5.0,5.0
Switzerland,16 Oct  2017,75.0,76.0,6.0,78.0,78.0,5.0,6.0
Sweden,16 Oct  2017,77.0,76.0,8.0,76.0,76.0,5.0,8.0
Republic of Ireland,16 Oct  2017,75.0,75.0,8.0,75.0,75.0,5.0,8.0
Korea Republic,16 Oct  2017,74.0,70.0,3.0,74.0,73.0,5.0,3.0
Belgium,16 Oct  2017,83.0,85.0,35.0,84.0,84.0,7.0,35.0
United States,16 Oct  2017,75.0,74.0,24.0,77.0,76.0,6.0,24.0
Norway,16 Oct  2017,74.0,73.0,9.0,73.0,74.0,4.0,9.0
Paraguay,16 Oct  2017,76.0,73.0,3.0,75.0,74.0,4.0,3.0
Ukraine,16 Oct  2017,73.0,70.0,0.0,72.0,76.0,14.0,0.0
Poland,16 Oct  2017,82.0,77.0,20.0,75.0,78.0,5.0,20.0
Bulgaria,16 Oct  2017,70.0,69.0,1.0,70.0,70.0,5.0,1.0
Finland,16 Oct  2017,71.0,69.0,7.0,71.0,71.0,3.0,7.0
Scotland,16 Oct  2017,75.0,73.0,8.0,75.0,74.0,4.0,8.0
Romania,16 Oct  2017,79.0,71.0,9.0,72.0,73.0,5.0,9.0
Austria,16 Oct  2017,77.0,77.0,4.0,78.0,77.0,4.0,4.0
Wales,16 Oct  2017,82.0,78.0,12.0,73.0,75.0,4.0,12.0
Slovenia,16 Oct  2017,74.0,73.0,1.0,75.0,75.0,5.0,1.0
