team,date,bup_speed,bup_dribbling,bup_passing,cc_passing,cc_crossing,cc_shooting,d_pressure,d_aggresion,d_width
China PR,2018-02-12 00:00:00+00:00,51,48.0,50,54,68,57,49,54,57
Netherlands,2018-02-12 00:00:00+00:00,51,48.0,51,42,48,63,46,42,63
Czech Republic,2018-02-12 00:00:00+00:00,68,41.0,71,75,41,62,75,71,41
South Africa,2018-02-12 00:00:00+00:00,38,37.0,39,38,68,58,27,40,39
New Zealand,2018-02-12 00:00:00+00:00,69,40.0,70,76,40,69,74,80,50
Côte d'Ivoire,2018-02-12 00:00:00+00:00,70,45.0,72,69,65,79,60,61,35
Chile,2018-02-12 00:00:00+00:00,40,44.0,38,35,45,45,68,55,35
Colombia,2018-02-12 00:00:00+00:00,68,45.0,66,71,45,73,48,41,63
Peru,2018-02-12 00:00:00+00:00,53,40.0,49,46,80,56,66,70,70
Egypt,2018-02-12 00:00:00+00:00,52,64.0,49,58,64,31,44,58,31
Venezuela,2018-02-12 00:00:00+00:00,71,52.0,68,62,52,62,26,34,21
Bolivia,2018-02-12 00:00:00+00:00,50,52.0,53,46,72,70,44,46,70
India,2018-02-12 00:00:00+00:00,50,47.0,50,31,47,37,48,31,37
Canada,2018-02-12 00:00:00+00:00,68,60.0,71,50,70,70,29,24,31
Saudi Arabia,2018-02-12 00:00:00+00:00,69,68.0,66,72,48,73,44,42,63
Iceland,2018-02-12 00:00:00+00:00,49,56.0,52,70,56,44,43,70,44
Morocco,2018-02-12 00:00:00+00:00,38,52.0,38,38,58,58,43,34,68
Senegal,2018-02-12 00:00:00+00:00,51,53.0,51,59,53,48,48,59,48
Japan,2018-02-12 00:00:00+00:00,70,65.0,69,61,65,80,66,55,35
Iran,2018-02-12 00:00:00+00:00,69,67.0,69,47,37,67,26,25,22
Costa Rica,2018-02-12 00:00:00+00:00,49,36.0,52,50,76,39,43,50,39
Panama,2018-02-12 00:00:00+00:00,49,31.0,50,37,31,47,74,71,61
Brazil,2018-02-08 00:00:00+00:00,36,52.0,33,40,33,42,76,73,63
England,2018-02-08 00:00:00+00:00,49,41.0,52,55,41,49,43,55,49
Italy,2018-02-08 00:00:00+00:00,73,60.0,67,64,80,78,29,33,32
Spain,2018-02-08 00:00:00+00:00,32,41.0,28,27,32,20,75,62,52
France,2018-02-08 00:00:00+00:00,35,52.0,30,24,53,35,47,47,67
Germany,2018-02-08 00:00:00+00:00,28,34.0,34,20,40,26,66,60,60
Argentina,2018-02-08 00:00:00+00:00,36,50.0,40,36,36,36,76,66,36
Portugal,2018-02-08 00:00:00+00:00,51,68.0,50,54,58,62,66,58,38
Turkey,2018-02-08 00:00:00+00:00,37,51.0,37,32,62,52,58,62,52
Nigeria,2018-02-08 00:00:00+00:00,68,75.0,71,79,55,74,58,75,65
Denmark,2018-02-08 00:00:00+00:00,50,42.0,53,68,42,45,60,46,52
Russia,2018-02-08 00:00:00+00:00,50,77.0,49,63,37,46,44,63,46
Mexico,2018-02-08 00:00:00+00:00,53,60.0,53,56,60,70,68,60,40
Uruguay,2018-02-08 00:00:00+00:00,51,43.0,49,67,43,61,44,67,61
Greece,2018-02-08 00:00:00+00:00,71,41.0,67,71,71,71,25,28,20
Croatia,2018-02-08 00:00:00+00:00,51,58.0,51,52,58,58,49,52,58
Cameroon,2018-02-08 00:00:00+00:00,39,53.0,39,34,54,54,60,64,54
Serbia,2018-02-08 00:00:00+00:00,50,32.0,52,56,32,44,44,56,44
Australia,2018-02-08 00:00:00+00:00,36,20.0,36,36,46,46,58,62,36
Switzerland,2018-02-08 00:00:00+00:00,53,55.0,53,59,55,60,46,59,60
Sweden,2018-02-08 00:00:00+00:00,53,55.0,52,59,55,54,66,55,35
Republic of Ireland,2018-02-08 00:00:00+00:00,53,35.0,50,31,35,67,67,55,55
Korea Republic,2018-02-08 00:00:00+00:00,50,77.0,49,43,77,66,44,43,66
Belgium,2018-02-08 00:00:00+00:00,36,50.0,36,36,66,56,75,66,36
United States,2018-02-08 00:00:00+00:00,52,34.0,51,70,34,58,48,70,58
Norway,2018-02-08 00:00:00+00:00,72,55.0,70,79,55,61,46,69,51
Paraguay,2018-02-08 00:00:00+00:00,50,62.0,50,36,62,57,59,54,52
Ukraine,2018-02-08 00:00:00+00:00,55,0.0,70,65,70,70,55,70,60
Poland,2018-02-08 00:00:00+00:00,49,56.0,52,52,56,34,46,52,34
Bulgaria,2018-02-08 00:00:00+00:00,49,41.0,50,55,41,47,44,55,47
Finland,2018-02-08 00:00:00+00:00,49,46.0,51,52,46,68,25,30,29
Scotland,2018-02-08 00:00:00+00:00,53,45.0,50,49,45,47,44,49,47
Romania,2018-02-08 00:00:00+00:00,55,45.0,50,45,65,35,40,45,50
Austria,2018-02-08 00:00:00+00:00,40,24.0,39,40,40,40,66,70,50
Wales,2018-02-08 00:00:00+00:00,72,49.0,68,63,49,67,44,53,57
Slovenia,2018-02-08 00:00:00+00:00,36,30.0,37,36,46,46,74,66,36
Ecuador,2018-02-08 00:00:00+00:00,51,78.0,53,32,78,70,58,50,48
Tunisia,2018-02-08 00:00:00+00:00,72,75.0,68,79,35,79,44,69,49
Northern Ireland,2018-02-08 00:00:00+00:00,53,35.0,53,39,35,65,46,39,65
Hungary,2018-02-08 00:00:00+00:00,71,58.0,66,62,58,69,43,52,39
China PR,2018-02-08 00:00:00+00:00,51,48.0,50,54,68,57,49,54,57
Netherlands,2018-02-08 00:00:00+00:00,51,48.0,51,42,48,63,46,42,63
Czech Republic,2018-02-08 00:00:00+00:00,68,41.0,71,75,41,62,75,71,41
South Africa,2018-02-08 00:00:00+00:00,38,37.0,39,38,68,58,27,40,39
New Zealand,2018-02-08 00:00:00+00:00,69,40.0,70,76,40,69,74,80,50
Côte d'Ivoire,2018-02-08 00:00:00+00:00,70,45.0,72,69,65,79,60,61,35
Chile,2018-02-08 00:00:00+00:00,40,44.0,38,35,45,45,68,55,35
Colombia,2018-02-08 00:00:00+00:00,68,45.0,66,71,45,73,48,41,63
Peru,2018-02-08 00:00:00+00:00,53,40.0,49,46,80,56,66,70,70
Egypt,2018-02-08 00:00:00+00:00,52,64.0,49,58,64,31,44,58,31
Venezuela,2018-02-08 00:00:00+00:00,71,52.0,68,62,52,62,26,34,21
Bolivia,2018-02-08 00:00:00+00:00,50,52.0,53,46,72,70,44,46,70
India,2018-02-08 00:00:00+00:00,50,47.0,50,31,47,37,48,31,37
Canada,2018-02-08 00:00:00+00:00,68,60.0,71,50,70,70,29,24,31
Saudi Arabia,2018-02-08 00:00:00+00:00,69,68.0,66,72,48,73,44,42,63
Iceland,2018-02-08 00:00:00+00:00,49,56.0,52,70,56,44,43,70,44
Morocco,2018-02-08 00:00:00+00:00,38,52.0,38,38,58,58,43,34,68
Senegal,2018-02-08 00:00:00+00:00,51,53.0,51,59,53,48,48,59,48
Japan,2018-02-08 00:00:00+00:00,70,65.0,69,61,65,80,66,55,35
Iran,2018-02-08 00:00:00+00:00,69,67.0,69,47,37,67,26,25,22
Costa Rica,2018-02-08 00:00:00+00:00,49,36.0,52,50,76,39,43,50,39
Panama,2018-02-08 00:00:00+00:00,49,31.0,50,37,31,47,74,71,61
Brazil,2018-02-05 00:00:00+00:00,36,52.0,33,40,33,42,76,73,63
England,2018-02-05 00:00:00+00:00,49,41.0,52,55,41,49,43,55,49
Italy,2018-02-05 00:00:00+00:00,73,60.0,67,64,80,78,29,33,32
Spain,2018-02-05 00:00:00+00:00,32,41.0,28,27,32,20,75,62,52
France,2018-02-05 00:00:00+00:00,35,52.0,30,24,53,35,47,47,67
Germany,2018-02-05 00:00:00+00:00,28,34.0,34,20,40,26,66,60,60
Argentina,2018-02-05 00:00:00+00:00,36,50.0,40,36,36,36,76,66,36
Portugal,2018-02-05 00:00:00+00:00,51,68.0,50,54,58,62,66,58,38
Turkey,2018-02-05 00:00:00+00:00,37,51.0,37,32,62,52,58,62,52
Nigeria,2018-02-05 00:00:00+00:00,68,75.0,71,79,55,74,58,75,65
Denmark,2018-02-05 00:00:00+00:00,50,42.0,53,68,42,45,60,46,52
Russia,2018-02-05 00:00:00+00:00,50,77.0,49,63,37,46,44,63,46
Mexico,2018-02-05 00:00:00+00:00,53,60.0,53,56,60,70,68,60,40
Uruguay,2018-02-05 00:00:00+00:00,51,43.0,49,67,43,61,44,67,61
Greece,2018-02-05 00:00:00+00:00,71,41.0,67,71,71,71,25,28,20
Croatia,2018-02-05 00:00:00+00:00,51,58.0,51,52,58,58,49,52,58
Cameroon,2018-02-05 00:00:00+00:00,39,53.0,39,34,54,54,60,64,54
Serbia,2018-02-05 00:00:00+00:00,50,32.0,52,56,32,44,44,56,44
Australia,2018-02-05 00:00:00+00:00,36,20.0,36,36,46,46,58,62,36
Switzerland,2018-02-05 00:00:00+00:00,53,55.0,53,59,55,60,46,59,60
Sweden,2018-02-05 00:00:00+00:00,53,55.0,52,59,55,54,66,55,35
Republic of Ireland,2018-02-05 00:00:00+00:00,53,35.0,50,31,35,67,67,55,55
Korea Republic,2018-02-05 00:00:00+00:00,50,77.0,49,43,77,66,44,43,66
Belgium,2018-02-05 00:00:00+00:00,36,50.0,36,36,66,56,75,66,36
United States,2018-02-05 00:00:00+00:00,52,34.0,51,70,34,58,48,70,58
Norway,2018-02-05 00:00:00+00:00,72,55.0,70,79,55,61,46,69,51
Paraguay,2018-02-05 00:00:00+00:00,50,62.0,50,36,62,57,59,54,52
Ukraine,2018-02-05 00:00:00+00:00,55,0.0,70,65,70,70,55,70,60
Poland,2018-02-05 00:00:00+00:00,49,56.0,52,52,56,34,46,52,34
Bulgaria,2018-02-05 00:00:00+00:00,49,41.0,50,55,41,47,44,55,47
Finland,2018-02-05 00:00:00+00:00,49,46.0,51,52,46,68,25,30,29
Scotland,2018-02-05 00:00:00+00:00,53,45.0,50,49,45,47,44,49,47
Romania,2018-02-05 00:00:00+00:00,55,45.0,50,45,65,35,40,45,50
Austria,2018-02-05 00:00:00+00:00,40,24.0,39,40,40,40,66,70,50
Wales,2018-02-05 00:00:00+00:00,72,49.0,68,63,49,67,44,53,57
Slovenia,2018-02-05 00:00:00+00:00,36,30.0,37,36,46,46,74,66,36
Ecuador,2018-02-05 00:00:00+00:00,51,78.0,53,32,78,70,58,50,48
Tunisia,2018-02-05 00:00:00+00:00,72,75.0,68,79,35,79,44,69,49
Northern Ireland,2018-02-05 00:00:00+00:00,53,35.0,53,39,35,65,46,39,65
Hungary,2018-02-05 00:00:00+00:00,71,58.0,66,62,58,69,43,52,39
China PR,2018-02-05 00:00:00+00:00,51,48.0,50,54,68,57,49,54,57
Netherlands,2018-02-05 00:00:00+00:00,51,48.0,51,42,48,63,46,42,63
Czech Republic,2018-02-05 00:00:00+00:00,68,41.0,71,75,41,62,75,71,41
South Africa,2018-02-05 00:00:00+00:00,38,37.0,39,38,68,58,27,40,39
New Zealand,2018-02-05 00:00:00+00:00,69,40.0,70,76,40,69,74,80,50
Côte d'Ivoire,2018-02-05 00:00:00+00:00,70,45.0,72,69,65,79,60,61,35
Chile,2018-02-05 00:00:00+00:00,40,44.0,38,35,45,45,68,55,35
Colombia,2018-02-05 00:00:00+00:00,68,45.0,66,71,45,73,48,41,63
Peru,2018-02-05 00:00:00+00:00,53,40.0,49,46,80,56,66,70,70
Egypt,2018-02-05 00:00:00+00:00,52,64.0,49,58,64,31,44,58,31
Venezuela,2018-02-05 00:00:00+00:00,71,52.0,68,62,52,62,26,34,21
Bolivia,2018-02-05 00:00:00+00:00,50,52.0,53,46,72,70,44,46,70
India,2018-02-05 00:00:00+00:00,50,47.0,50,31,47,37,48,31,37
Canada,2018-02-05 00:00:00+00:00,68,60.0,71,50,70,70,29,24,31
Saudi Arabia,2018-02-05 00:00:00+00:00,69,68.0,66,72,48,73,44,42,63
Iceland,2018-02-05 00:00:00+00:00,49,56.0,52,70,56,44,43,70,44
Morocco,2018-02-05 00:00:00+00:00,38,52.0,38,38,58,58,43,34,68
Senegal,2018-02-05 00:00:00+00:00,51,53.0,51,59,53,48,48,59,48
Japan,2018-02-05 00:00:00+00:00,70,65.0,69,61,65,80,66,55,35
Iran,2018-02-05 00:00:00+00:00,69,67.0,69,47,37,67,26,25,22
Costa Rica,2018-02-05 00:00:00+00:00,49,36.0,52,50,76,39,43,50,39
Panama,2018-02-05 00:00:00+00:00,49,31.0,50,37,31,47,74,71,61
Brazil,2018-02-01 00:00:00+00:00,36,52.0,33,40,33,42,76,73,63
England,2018-02-01 00:00:00+00:00,49,41.0,52,55,41,49,43,55,49
Italy,2018-02-01 00:00:00+00:00,73,60.0,67,64,80,78,29,33,32
Spain,2018-02-01 00:00:00+00:00,32,41.0,28,27,32,20,75,62,52
France,2018-02-01 00:00:00+00:00,35,52.0,30,24,53,35,47,47,67
Germany,2018-02-01 00:00:00+00:00,28,34.0,34,20,40,26,66,60,60
Argentina,2018-02-01 00:00:00+00:00,36,50.0,40,36,36,36,76,66,36
Portugal,2018-02-01 00:00:00+00:00,51,68.0,50,54,58,62,66,58,38
Turkey,2018-02-01 00:00:00+00:00,37,51.0,37,32,62,52,58,62,52
Nigeria,2018-02-01 00:00:00+00:00,68,75.0,71,79,55,74,58,75,65
Denmark,2018-02-01 00:00:00+00:00,50,42.0,53,68,42,45,60,46,52
Russia,2018-02-01 00:00:00+00:00,50,77.0,49,63,37,46,44,63,46
Mexico,2018-02-01 00:00:00+00:00,53,60.0,53,56,60,70,68,60,40
Uruguay,2018-02-01 00:00:00+00:00,51,43.0,49,67,43,61,44,67,61
Greece,2018-02-01 00:00:00+00:00,71,41.0,67,71,71,71,25,28,20
Croatia,2018-02-01 00:00:00+00:00,51,58.0,51,52,58,58,49,52,58
Cameroon,2018-02-01 00:00:00+00:00,39,53.0,39,34,54,54,60,64,54
Serbia,2018-02-01 00:00:00+00:00,50,32.0,52,56,32,44,44,56,44
Australia,2018-02-01 00:00:00+00:00,36,20.0,36,36,46,46,58,62,36
Switzerland,2018-02-01 00:00:00+00:00,53,55.0,53,59,55,60,46,59,60
Sweden,2018-02-01 00:00:00+00:00,53,55.0,52,59,55,54,66,55,35
Republic of Ireland,2018-02-01 00:00:00+00:00,53,35.0,50,31,35,67,67,55,55
Korea Republic,2018-02-01 00:00:00+00:00,50,77.0,49,43,77,66,44,43,66
Belgium,2018-02-01 00:00:00+00:00,36,50.0,36,36,66,56,75,66,36
United States,2018-02-01 00:00:00+00:00,52,34.0,51,70,34,58,48,70,58
Norway,2018-02-01 00:00:00+00:00,72,55.0,70,79,55,61,46,69,51
Paraguay,2018-02-01 00:00:00+00:00,50,62.0,50,36,62,57,59,54,52
Ukraine,2018-02-01 00:00:00+00:00,55,0.0,70,65,70,70,55,70,60
Poland,2018-02-01 00:00:00+00:00,49,56.0,52,52,56,34,46,52,34
Bulgaria,2018-02-01 00:00:00+00:00,49,41.0,50,55,41,47,44,55,47
Finland,2018-02-01 00:00:00+00:00,49,46.0,51,52,46,68,25,30,29
Scotland,2018-02-01 00:00:00+00:00,53,45.0,50,49,45,47,44,49,47
Romania,2018-02-01 00:00:00+00:00,55,45.0,50,45,65,35,40,45,50
Austria,2018-02-01 00:00:00+00:00,40,24.0,39,40,40,40,66,70,50
Wales,2018-02-01 00:00:00+00:00,72,49.0,68,63,49,67,44,53,57
Slovenia,2018-02-01 00:00:00+00:00,36,30.0,37,36,46,46,74,66,36
Ecuador,2018-02-01 00:00:00+00:00,51,78.0,53,32,78,70,58,50,48
Tunisia,2018-02-01 00:00:00+00:00,72,75.0,68,79,35,79,44,69,49
Northern Ireland,2018-02-01 00:00:00+00:00,53,35.0,53,39,35,65,46,39,65
Hungary,2018-02-01 00:00:00+00:00,71,58.0,66,62,58,69,43,52,39
China PR,2018-02-01 00:00:00+00:00,51,48.0,50,54,68,57,49,54,57
Netherlands,2018-02-01 00:00:00+00:00,51,48.0,51,42,48,63,46,42,63
Czech Republic,2018-02-01 00:00:00+00:00,68,41.0,71,75,41,62,75,71,41
South Africa,2018-02-01 00:00:00+00:00,38,37.0,39,38,68,58,27,40,39
New Zealand,2018-02-01 00:00:00+00:00,69,40.0,70,76,40,69,74,80,50
Côte d'Ivoire,2018-02-01 00:00:00+00:00,70,45.0,72,69,65,79,60,61,35
Chile,2018-02-01 00:00:00+00:00,40,44.0,38,35,45,45,68,55,35
Colombia,2018-02-01 00:00:00+00:00,68,45.0,66,71,45,73,48,41,63
Peru,2018-02-01 00:00:00+00:00,53,40.0,49,46,80,56,66,70,70
Egypt,2018-02-01 00:00:00+00:00,52,64.0,49,58,64,31,44,58,31
Venezuela,2018-02-01 00:00:00+00:00,71,52.0,68,62,52,62,26,34,21
Bolivia,2018-02-01 00:00:00+00:00,50,52.0,53,46,72,70,44,46,70
India,2018-02-01 00:00:00+00:00,50,47.0,50,31,47,37,48,31,37
Canada,2018-02-01 00:00:00+00:00,68,60.0,71,50,70,70,29,24,31
Saudi Arabia,2018-02-01 00:00:00+00:00,69,68.0,66,72,48,73,44,42,63
Iceland,2018-02-01 00:00:00+00:00,49,56.0,52,70,56,44,43,70,44
Morocco,2018-02-01 00:00:00+00:00,38,52.0,38,38,58,58,43,34,68
Senegal,2018-02-01 00:00:00+00:00,51,53.0,51,59,53,48,48,59,48
Japan,2018-02-01 00:00:00+00:00,70,65.0,69,61,65,80,66,55,35
Iran,2018-02-01 00:00:00+00:00,69,67.0,69,47,37,67,26,25,22
Costa Rica,2018-02-01 00:00:00+00:00,49,36.0,52,50,76,39,43,50,39
Panama,2018-02-01 00:00:00+00:00,49,31.0,50,37,31,47,74,71,61
Brazil,2018-01-29 00:00:00+00:00,36,52.0,33,40,33,42,76,73,63
England,2018-01-29 00:00:00+00:00,49,41.0,52,55,41,49,43,55,49
Italy,2018-01-29 00:00:00+00:00,73,60.0,67,64,80,78,29,33,32
Spain,2018-01-29 00:00:00+00:00,32,41.0,28,27,32,20,75,62,52
France,2018-01-29 00:00:00+00:00,35,52.0,30,24,53,35,47,47,67
Germany,2018-01-29 00:00:00+00:00,28,34.0,34,20,40,26,66,60,60
Argentina,2018-01-29 00:00:00+00:00,36,50.0,40,36,36,36,76,66,36
Portugal,2018-01-29 00:00:00+00:00,51,68.0,50,54,58,62,66,58,38
Turkey,2018-01-29 00:00:00+00:00,37,51.0,37,32,62,52,58,62,52
Nigeria,2018-01-29 00:00:00+00:00,68,75.0,71,79,55,74,58,75,65
Denmark,2018-01-29 00:00:00+00:00,50,42.0,53,68,42,45,60,46,52
Russia,2018-01-29 00:00:00+00:00,50,77.0,49,63,37,46,44,63,46
Mexico,2018-01-29 00:00:00+00:00,53,60.0,53,56,60,70,68,60,40
Uruguay,2018-01-29 00:00:00+00:00,51,43.0,49,67,43,61,44,67,61
Greece,2018-01-29 00:00:00+00:00,71,41.0,67,71,71,71,25,28,20
Croatia,2018-01-29 00:00:00+00:00,51,58.0,51,52,58,58,49,52,58
Cameroon,2018-01-29 00:00:00+00:00,39,53.0,39,34,54,54,60,64,54
Serbia,2018-01-29 00:00:00+00:00,50,32.0,52,56,32,44,44,56,44
Australia,2018-01-29 00:00:00+00:00,36,20.0,36,36,46,46,58,62,36
Switzerland,2018-01-29 00:00:00+00:00,53,55.0,53,59,55,60,46,59,60
Sweden,2018-01-29 00:00:00+00:00,53,55.0,52,59,55,54,66,55,35
Republic of Ireland,2018-01-29 00:00:00+00:00,53,35.0,50,31,35,67,67,55,55
Korea Republic,2018-01-29 00:00:00+00:00,50,77.0,49,43,77,66,44,43,66
Belgium,2018-01-29 00:00:00+00:00,36,50.0,36,36,66,56,75,66,36
United States,2018-01-29 00:00:00+00:00,52,34.0,51,70,34,58,48,70,58
Norway,2018-01-29 00:00:00+00:00,72,55.0,70,79,55,61,46,69,51
Paraguay,2018-01-29 00:00:00+00:00,50,62.0,50,36,62,57,59,54,52
Ukraine,2018-01-29 00:00:00+00:00,55,0.0,70,65,70,70,55,70,60
Poland,2018-01-29 00:00:00+00:00,49,56.0,52,52,56,34,46,52,34
Bulgaria,2018-01-29 00:00:00+00:00,49,41.0,50,55,41,47,44,55,47
Finland,2018-01-29 00:00:00+00:00,49,46.0,51,52,46,68,25,30,29
Scotland,2018-01-29 00:00:00+00:00,53,45.0,50,49,45,47,44,49,47
Romania,2018-01-29 00:00:00+00:00,55,45.0,50,45,65,35,40,45,50
Austria,2018-01-29 00:00:00+00:00,40,24.0,39,40,40,40,66,70,50
Wales,2018-01-29 00:00:00+00:00,72,49.0,68,63,49,67,44,53,57
Slovenia,2018-01-29 00:00:00+00:00,36,30.0,37,36,46,46,74,66,36
Ecuador,2018-01-29 00:00:00+00:00,51,78.0,53,32,78,70,58,50,48
Tunisia,2018-01-29 00:00:00+00:00,72,75.0,68,79,35,79,44,69,49
Northern Ireland,2018-01-29 00:00:00+00:00,53,35.0,53,39,35,65,46,39,65
Hungary,2018-01-29 00:00:00+00:00,71,58.0,66,62,58,69,43,52,39
China PR,2018-01-29 00:00:00+00:00,51,48.0,50,54,68,57,49,54,57
Netherlands,2018-01-29 00:00:00+00:00,51,48.0,51,42,48,63,46,42,63
Czech Republic,2018-01-29 00:00:00+00:00,68,41.0,71,75,41,62,75,71,41
South Africa,2018-01-29 00:00:00+00:00,38,37.0,39,38,68,58,27,40,39
New Zealand,2018-01-29 00:00:00+00:00,69,40.0,70,76,40,69,74,80,50
Côte d'Ivoire,2018-01-29 00:00:00+00:00,70,45.0,72,69,65,79,60,61,35
Chile,2018-01-29 00:00:00+00:00,40,44.0,38,35,45,45,68,55,35
Colombia,2018-01-29 00:00:00+00:00,68,45.0,66,71,45,73,48,41,63
Peru,2018-01-29 00:00:00+00:00,53,40.0,49,46,80,56,66,70,70
Egypt,2018-01-29 00:00:00+00:00,52,64.0,49,58,64,31,44,58,31
Venezuela,2018-01-29 00:00:00+00:00,71,52.0,68,62,52,62,26,34,21
Bolivia,2018-01-29 00:00:00+00:00,50,52.0,53,46,72,70,44,46,70
India,2018-01-29 00:00:00+00:00,50,47.0,50,31,47,37,48,31,37
Canada,2018-01-29 00:00:00+00:00,68,60.0,71,50,70,70,29,24,31
Saudi Arabia,2018-01-29 00:00:00+00:00,69,68.0,66,72,48,73,44,42,63
Iceland,2018-01-29 00:00:00+00:00,49,56.0,52,70,56,44,43,70,44
Morocco,2018-01-29 00:00:00+00:00,38,52.0,38,38,58,58,43,34,68
Senegal,2018-01-29 00:00:00+00:00,51,53.0,51,59,53,48,48,59,48
Japan,2018-01-29 00:00:00+00:00,70,65.0,69,61,65,80,66,55,35
Iran,2018-01-29 00:00:00+00:00,69,67.0,69,47,37,67,26,25,22
Costa Rica,2018-01-29 00:00:00+00:00,49,36.0,52,50,76,39,43,50,39
Panama,2018-01-29 00:00:00+00:00,49,31.0,50,37,31,47,74,71,61
Brazil,2018-01-25 00:00:00+00:00,36,52.0,33,40,33,42,76,73,63
England,2018-01-25 00:00:00+00:00,49,41.0,52,55,41,49,43,55,49
Italy,2018-01-25 00:00:00+00:00,73,60.0,67,64,80,78,29,33,32
Spain,2018-01-25 00:00:00+00:00,32,41.0,28,27,32,20,75,62,52
France,2018-01-25 00:00:00+00:00,35,52.0,30,24,53,35,47,47,67
Germany,2018-01-25 00:00:00+00:00,28,34.0,34,20,40,26,66,60,60
Argentina,2018-01-25 00:00:00+00:00,36,50.0,40,36,36,36,76,66,36
Portugal,2018-01-25 00:00:00+00:00,51,68.0,50,54,58,62,66,58,38
Turkey,2018-01-25 00:00:00+00:00,37,51.0,37,32,62,52,58,62,52
Nigeria,2018-01-25 00:00:00+00:00,68,75.0,71,79,55,74,58,75,65
Denmark,2018-01-25 00:00:00+00:00,50,42.0,53,68,42,45,60,46,52
Russia,2018-01-25 00:00:00+00:00,50,77.0,49,63,37,46,44,63,46
Mexico,2018-01-25 00:00:00+00:00,53,60.0,53,56,60,70,68,60,40
Uruguay,2018-01-25 00:00:00+00:00,51,43.0,49,67,43,61,44,67,61
Greece,2018-01-25 00:00:00+00:00,71,41.0,67,71,71,71,25,28,20
Croatia,2018-01-25 00:00:00+00:00,51,58.0,51,52,58,58,49,52,58
Cameroon,2018-01-25 00:00:00+00:00,39,53.0,39,34,54,54,60,64,54
Serbia,2018-01-25 00:00:00+00:00,50,32.0,52,56,32,44,44,56,44
Australia,2018-01-25 00:00:00+00:00,36,20.0,36,36,46,46,58,62,36
Switzerland,2018-01-25 00:00:00+00:00,53,55.0,53,59,55,60,46,59,60
Sweden,2018-01-25 00:00:00+00:00,53,55.0,52,59,55,54,66,55,35
Republic of Ireland,2018-01-25 00:00:00+00:00,53,35.0,50,31,35,67,67,55,55
Korea Republic,2018-01-25 00:00:00+00:00,50,77.0,49,43,77,66,44,43,66
Belgium,2018-01-25 00:00:00+00:00,36,50.0,36,36,66,56,75,66,36
United States,2018-01-25 00:00:00+00:00,52,34.0,51,70,34,58,48,70,58
Norway,2018-01-25 00:00:00+00:00,72,55.0,70,79,55,61,46,69,51
Paraguay,2018-01-25 00:00:00+00:00,50,62.0,50,36,62,57,59,54,52
Ukraine,2018-01-25 00:00:00+00:00,55,0.0,70,65,70,70,55,70,60
Poland,2018-01-25 00:00:00+00:00,49,56.0,52,52,56,34,46,52,34
Bulgaria,2018-01-25 00:00:00+00:00,49,41.0,50,55,41,47,44,55,47
Finland,2018-01-25 00:00:00+00:00,49,46.0,51,52,46,68,25,30,29
Scotland,2018-01-25 00:00:00+00:00,53,45.0,50,49,45,47,44,49,47
Romania,2018-01-25 00:00:00+00:00,55,45.0,50,45,65,35,40,45,50
Austria,2018-01-25 00:00:00+00:00,40,24.0,39,40,40,40,66,70,50
Wales,2018-01-25 00:00:00+00:00,72,49.0,68,63,49,67,44,53,57
Slovenia,2018-01-25 00:00:00+00:00,36,30.0,37,36,46,46,74,66,36
Ecuador,2018-01-25 00:00:00+00:00,51,78.0,53,32,78,70,58,50,48
Tunisia,2018-01-25 00:00:00+00:00,72,75.0,68,79,35,79,44,69,49
Northern Ireland,2018-01-25 00:00:00+00:00,53,35.0,53,39,35,65,46,39,65
Hungary,2018-01-25 00:00:00+00:00,71,58.0,66,62,58,69,43,52,39
China PR,2018-01-25 00:00:00+00:00,51,48.0,50,54,68,57,49,54,57
Netherlands,2018-01-25 00:00:00+00:00,51,48.0,51,42,48,63,46,42,63
Czech Republic,2018-01-25 00:00:00+00:00,68,41.0,71,75,41,62,75,71,41
South Africa,2018-01-25 00:00:00+00:00,38,37.0,39,38,68,58,27,40,39
New Zealand,2018-01-25 00:00:00+00:00,69,40.0,70,76,40,69,74,80,50
Côte d'Ivoire,2018-01-25 00:00:00+00:00,70,45.0,72,69,65,79,60,61,35
Chile,2018-01-25 00:00:00+00:00,40,44.0,38,35,45,45,68,55,35
Colombia,2018-01-25 00:00:00+00:00,68,45.0,66,71,45,73,48,41,63
Peru,2018-01-25 00:00:00+00:00,53,40.0,49,46,80,56,66,70,70
Egypt,2018-01-25 00:00:00+00:00,52,64.0,49,58,64,31,44,58,31
Venezuela,2018-01-25 00:00:00+00:00,71,52.0,68,62,52,62,26,34,21
Bolivia,2018-01-25 00:00:00+00:00,50,52.0,53,46,72,70,44,46,70
India,2018-01-25 00:00:00+00:00,50,47.0,50,31,47,37,48,31,37
Canada,2018-01-25 00:00:00+00:00,68,60.0,71,50,70,70,29,24,31
Saudi Arabia,2018-01-25 00:00:00+00:00,69,68.0,66,72,48,73,44,42,63
Iceland,2018-01-25 00:00:00+00:00,49,56.0,52,70,56,44,43,70,44
Morocco,2018-01-25 00:00:00+00:00,38,52.0,38,38,58,58,43,34,68
Senegal,2018-01-25 00:00:00+00:00,51,53.0,51,59,53,48,48,59,48
Japan,2018-01-25 00:00:00+00:00,70,65.0,69,61,65,80,66,55,35
Iran,2018-01-25 00:00:00+00:00,69,67.0,69,47,37,67,26,25,22
